code	name	city	country	latlng	yaid
NOZ	Спиченково	Новокузнецк	ru	53.810556,87.878056	9623569
AMV	Амдерма	Амдерма	ru	69.766667,61.55	9600401
NNM	Нарьян-Мар	Нарьян-Мар	ru	67.640278,53.1225	9623602
	Несь		ru	66.602669,44.687591	9752721
	Нижняя Пёша		ru	66.751811,47.737728	9752723
	Ома		ru	66.651819,46.507831	9752722
	Чижа		ru	67.089410106,44.3871266395	9752727
	Шойна		ru	67.854482,44.158588	9752728
AAQ	Анапа	Анапа	ru	45.002222,37.347222	9623572
GDZ	Геленджик	Геленджик	ru	44.566667,38.016667	9624891
GOJ	Стригино	Нижний Новгород	ru	56.218531,43.789861	9623052
	Омсукчан	Омсукчан	ru	62.5166014168,155.761312565	9623978
	Сеймчан	Сеймчан	ru	62.9210554702,152.426032806	9670980
GDX	Сокол	Магадан	ru	59.911111,150.720556	9600382
	Сусуман	Сусуман	ru	62.7638638822,148.142832403	9822811
	Эвенск	Эвенск	ru	61.9246710793,159.232221399	9623819
KRO	Курган	Курган	ru	55.5,65.333333	9600187
	Адамовка	Адамовка	ru	51.4995008997,59.9352349569	9818537
REN	Имени Ю.А.Гагарина	Оренбург	ru	51.795833,55.456667	9623408
	Кваркено	Кваркено	ru	52.0998143922,59.7333609725	9818538
OSW	Орск	Орск	ru	51.0725,58.595556	9623564
	Светлый	Светлый	ru	54.6919506909,20.2093577556	9818539
KVK	Апатиты	Апатиты	ru	67.5775877116,33.5822772217	9623848
MMK	Мурманск	Мурманск	ru	68.7978285142,32.7738383818	9623395
VNO	Вильнюс	Вильнюс	lt	54.634167,25.285833	9623592
PLQ	Паланга	Клайпеда	lt	55.973333,21.093889	9631534
KUN	Каунас	Каунас	lt	54.963889,24.084722	9634169
IGT	Магас	Назрань	ru	43.3177777778,45.0016666667	9727338
RGK	Горно-Алтайск	Горно-Алтайск	ru	51.9708392023,85.8404753014	9623328
PEZ	Терновка	Пенза	ru	53.116028,45.023901	9623412
NAL	Нальчик	Нальчик	ru	43.512778,43.636667	9623309
VKT	Воркута	Воркута	ru	67.383333,64.116667	9623662
	Вуктыл	Вуктыл	ru	63.8240693158,57.2808458019	9804309
INA	Инта	Инта	ru	66.066667,60.1	9625230
PEX	Печора	Печора	ru	65.119444,57.130556	9623839
SCW	Сыктывкар	Сыктывкар	ru	61.663771,50.851607	9623562
USK	Усинск	Усинск	ru	65.95,57.4	9623627
UTS	Усть-Цильма	Усть-Цильма	ru	65.45,52.3	9635528
UCT	Ухта	Ухта	ru	63.633333,53.733333	9623626
RIX	Рига	Рига	lv	56.923611,23.971111	9623540
JOK	Йошкар-Ола	Йошкар-Ола	ru	56.716667,47.9	9624000
KYZ	Кызыл	Кызыл	ru	51.674416,94.401995	9623348
OMS	Омск	Омск	ru	54.966944,73.310556	9600390
NBC	Бегишево	Нижнекамск	ru	55.5708839243,52.0899705764	9623691
UUA	Бугульма	Бугульма	ru	54.635278,52.799167	9623538
KZN	Казань	Казань	ru	55.6155359639,49.2792976834	9600379
PKV	Псков	Псков	ru	57.783889,28.395556	9623414
TAS	Ташкент	Ташкент	uz	41.257778,69.281111	9600397
KUF	Курумоч	Самара	ru	53.504722,50.164444	9600380
SKD	Самарканд	Самарканд	uz	39.700556,66.984722	9623553
UGC	Ургенч	Ургенч	uz	41.584167,60.641667	9623644
BHK	Бухара	Бухара	uz	39.775,64.483333	9623554
FEG	Фергана	Фергана	uz	40.361389,71.744722	9623641
MCX	Уйташ	Махачкала	ru	42.9851638789,47.4865628861	9623330
FRU	Манас	Бишкек	kg	43.061389,74.4775	9623580
OSS	Ош	Ош	kg	40.608889,72.793333	9623570
UFA	Уфа	Уфа	ru	54.562688,55.878736	9600393
	Исфана	Исфана	kg	39.776936033,69.5881372148	9623979
EVN	Звартноц	Ереван	am	40.147222,44.395833	9600369
LWN	Гюмри	Гюмри	am	40.750278,43.859444	9623546
